Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,165.503,167.373,164.722,166.013,133.1872
30.01.2018 13:00:00.000 GMT-0500,166.012,167.063,165.132,166.957,82.6214
31.01.2018 09:00:00.000 GMT-0500,166.872,168.453,166.662,166.723,89.5914
31.01.2018 13:00:00.000 GMT-0500,166.722,167.663,166.512,167.472,80.1743
01.02.2018 09:00:00.000 GMT-0500,167.242,168.63,166.782,167.813,101.106
01.02.2018 13:00:00.000 GMT-0500,167.822,168.173,166.832,167.792,85.8475
02.02.2018 09:00:00.000 GMT-0500,166.042,166.093,162.433,162.712,132.9956
02.02.2018 13:00:00.000 GMT-0500,162.702,162.723,160.122,160.419,117.9821
05.02.2018 09:00:00.000 GMT-0500,159.193,163.873,158.028,161.532,142.25
05.02.2018 13:00:00.000 GMT-0500,161.523,162.483,156.022,156.722,142.8144
06.02.2018 09:00:00.000 GMT-0500,155.012,161.002,154.032,160.542,132.2814
06.02.2018 13:00:00.000 GMT-0500,160.533,163.722,158.662,162.918,139.5099
07.02.2018 09:00:00.000 GMT-0500,163.033,163.112,160.123,160.51,160.5799
07.02.2018 13:00:00.000 GMT-0500,160.522,161.432,159.112,159.543,244.8895
08.02.2018 09:00:00.000 GMT-0500,160.322,161.023,157.902,158.811,358.0191
08.02.2018 13:00:00.000 GMT-0500,158.811,160.23,155.083,155.252,268.59
09.02.2018 09:00:00.000 GMT-0500,157.023,157.893,151.572,153.952,305.9808
09.02.2018 13:00:00.000 GMT-0500,153.942,157.192,150.272,155.96,228.5422
12.02.2018 09:00:00.000 GMT-0500,158.503,162.881,157.562,162.533,370.3471
12.02.2018 13:00:00.000 GMT-0500,162.552,163.902,161.882,162.802,246.9781
13.02.2018 09:00:00.000 GMT-0500,161.822,163.792,161.773,162.773,307.7865
13.02.2018 13:00:00.000 GMT-0500,162.772,164.759,162.759,164.422,233.2201
14.02.2018 09:00:00.000 GMT-0500,163.073,165.983,162.942,165.893,299.6082
14.02.2018 13:00:00.000 GMT-0500,165.903,167.528,165.661,167.369,213.6708
15.02.2018 09:00:00.000 GMT-0500,169.822,172.083,169.021,172.012,339.9781
15.02.2018 13:00:00.000 GMT-0500,172.043,173.093,171.67,172.952,242.8477
16.02.2018 09:00:00.000 GMT-0500,172.472,174.829,171.831,174.341,288.1012
16.02.2018 13:00:00.000 GMT-0500,174.353,174.523,172.442,172.478,275.8048
20.02.2018 09:00:00.000 GMT-0500,172.062,174.273,171.612,173.793,280.7215
20.02.2018 13:00:00.000 GMT-0500,173.771,174.183,171.433,171.822,231.5042
21.02.2018 09:00:00.000 GMT-0500,172.812,174.092,172.503,173.1,278.3583
21.02.2018 13:00:00.000 GMT-0500,173.103,174.142,171.072,171.113,284.4432
22.02.2018 09:00:00.000 GMT-0500,171.953,173.953,171.751,173.05,230.6103
22.02.2018 13:00:00.000 GMT-0500,173.033,173.411,171.842,172.612,91.622
23.02.2018 09:00:00.000 GMT-0500,173.793,174.793,173.562,174.592,37.6443
23.02.2018 13:00:00.000 GMT-0500,174.593,175.653,174.193,175.562,60.4679
26.02.2018 09:00:00.000 GMT-0500,176.372,179.143,176.352,178.542,51.7784
26.02.2018 13:00:00.000 GMT-0500,178.543,179.402,178.512,178.982,25.3782
27.02.2018 09:00:00.000 GMT-0500,179.103,180.483,178.172,179.362,27.3663
27.02.2018 13:00:00.000 GMT-0500,179.362,179.94,178.383,178.383,13.3517
28.02.2018 09:00:00.000 GMT-0500,179.263,180.623,178.533,179.892,35.2918
28.02.2018 13:00:00.000 GMT-0500,179.883,180.493,178.112,178.212,43.99
01.03.2018 09:00:00.000 GMT-0500,178.562,179.793,175.842,175.993,79.7744
01.03.2018 13:00:00.000 GMT-0500,175.979,175.993,172.703,174.992,67.5078
02.03.2018 09:00:00.000 GMT-0500,172.682,176.133,172.483,175.823,76.2919
02.03.2018 13:00:00.000 GMT-0500,175.817,176.303,174.152,176.153,51.1445
05.03.2018 09:00:00.000 GMT-0500,175.152,177.623,174.533,177.392,50.1687
05.03.2018 13:00:00.000 GMT-0500,177.393,177.753,176.492,176.862,36.629
06.03.2018 09:00:00.000 GMT-0500,177.913,178.262,176.372,177.412,43.8973
06.03.2018 13:00:00.000 GMT-0500,177.412,177.543,176.162,176.703,26.2283
07.03.2018 09:00:00.000 GMT-0500,175.143,175.863,174.273,175.232,35.8817
07.03.2018 13:00:00.000 GMT-0500,175.222,175.723,174.453,175.012,26.0846
08.03.2018 09:00:00.000 GMT-0500,175.503,176.713,175.082,176.622,29.6139
08.03.2018 13:00:00.000 GMT-0500,176.632,177.123,176.082,176.922,23.7424
09.03.2018 09:00:00.000 GMT-0500,177.803,179.653,177.402,179.112,32.0969
09.03.2018 13:00:00.000 GMT-0500,179.113,180.012,178.932,180.012,22.567
12.03.2018 09:00:00.000 GMT-0400,180.282,182.203,180.252,181.762,44.2396
12.03.2018 13:00:00.000 GMT-0400,181.773,182.403,181.072,181.733,23.0462
13.03.2018 09:00:00.000 GMT-0400,182.503,183.503,180.843,182.003,42.9442
13.03.2018 13:00:00.000 GMT-0400,182.012,182.553,179.242,180.002,38.477
14.03.2018 09:00:00.000 GMT-0400,180.413,180.582,177.862,178.962,46.7542
14.03.2018 13:00:00.000 GMT-0400,178.972,179.643,178.012,178.512,28.2145
15.03.2018 09:00:00.000 GMT-0400,178.463,180.212,178.282,179.532,23.5072
15.03.2018 13:00:00.000 GMT-0400,179.533,179.623,178.092,178.732,19.3962
16.03.2018 09:00:00.000 GMT-0400,178.703,179.133,177.63,178.593,24.7581
16.03.2018 13:00:00.000 GMT-0400,178.592,178.753,177.882,177.882,14.0396
19.03.2018 09:00:00.000 GMT-0400,177.383,177.483,174.043,174.533,43.7687
19.03.2018 13:00:00.000 GMT-0400,174.523,175.413,173.672,175.282,34.7667
20.03.2018 09:00:00.000 GMT-0400,175.322,176.803,175.252,175.873,27.5961
20.03.2018 13:00:00.000 GMT-0400,175.872,175.962,174.953,175.252,15.4705
21.03.2018 09:00:00.000 GMT-0400,175.043,175.113,173.732,173.912,22.2635
21.03.2018 13:00:00.000 GMT-0400,173.903,174.213,171.293,171.412,46.9384
22.03.2018 09:00:00.000 GMT-0400,170.042,171.303,168.952,170.592,57.0017
22.03.2018 13:00:00.000 GMT-0400,170.593,172.682,168.643,168.769,51.1564
23.03.2018 09:00:00.000 GMT-0400,168.553,169.753,167.402,167.812,59.1622
23.03.2018 13:00:00.000 GMT-0400,167.809,169.923,165.003,165.062,60.1847
26.03.2018 09:00:00.000 GMT-0400,168.082,169.883,166.462,168.783,55.7331
26.03.2018 13:00:00.000 GMT-0400,168.782,173.113,168.743,172.802,36.6093
27.03.2018 09:00:00.000 GMT-0400,173.692,175.152,172.643,173.243,65.5648
27.03.2018 13:00:00.000 GMT-0400,173.242,173.623,167.033,168.452,74.5485
28.03.2018 09:00:00.000 GMT-0400,167.172,170.023,165.232,167.222,103.1616
28.03.2018 13:00:00.000 GMT-0400,167.223,168.753,165.972,166.503,67.0771
29.03.2018 09:00:00.000 GMT-0400,168.072,170.633,166.912,170.052,59.2803
29.03.2018 13:00:00.000 GMT-0400,170.053,171.759,168.283,168.369,39.8126
02.04.2018 09:00:00.000 GMT-0400,167.842,168.953,164.763,165.743,96.6161
02.04.2018 13:00:00.000 GMT-0400,165.732,167.063,164.502,166.362,86.3811
03.04.2018 09:00:00.000 GMT-0400,167.683,167.802,164.932,166.133,77.2252
03.04.2018 13:00:00.000 GMT-0400,166.152,168.753,165.622,168.432,68.5538
04.04.2018 09:00:00.000 GMT-0400,164.913,170.533,164.902,169.612,87.2361
04.04.2018 13:00:00.000 GMT-0400,169.632,172.003,168.483,171.613,82.047
05.04.2018 09:00:00.000 GMT-0400,172.562,174.251,172.113,173.812,106.9026
05.04.2018 13:00:00.000 GMT-0400,173.838,174.213,172.482,172.803,31.6371
06.04.2018 09:00:00.000 GMT-0400,170.922,172.483,169.752,171.213,67.004
06.04.2018 13:00:00.000 GMT-0400,171.194,171.194,168.222,168.372,64.5865
09.04.2018 09:00:00.000 GMT-0400,169.892,172.993,169.892,172.802,49.2955
09.04.2018 13:00:00.000 GMT-0400,172.813,173.043,169.885,170.022,38.6114
10.04.2018 09:00:00.000 GMT-0400,173.152,173.513,171.613,172.603,19.5169
10.04.2018 13:00:00.000 GMT-0400,172.612,173.983,172.392,173.342,15.1504
11.04.2018 09:00:00.000 GMT-0400,171.892,173.933,171.742,173.012,17.2035
11.04.2018 13:00:00.000 GMT-0400,173.003,173.643,172.092,172.453,13.6453
12.04.2018 09:00:00.000 GMT-0400,173.413,174.863,173.063,174.822,14.0043
12.04.2018 13:00:00.000 GMT-0400,174.823,175.001,173.732,174.193,10.852
13.04.2018 09:00:00.000 GMT-0400,174.923,175.843,173.872,175.133,17.1516
13.04.2018 13:00:00.000 GMT-0400,175.132,175.483,174.094,174.73,11.4361
16.04.2018 09:00:00.000 GMT-0400,175.013,176.002,174.882,175.922,13.7539
16.04.2018 13:00:00.000 GMT-0400,175.932,176.193,175.462,175.822,9.8481
17.04.2018 09:00:00.000 GMT-0400,176.423,178.663,176.422,178.192,11.5209
17.04.2018 13:00:00.000 GMT-0400,178.192,178.943,177.853,178.253,9.0976
18.04.2018 09:00:00.000 GMT-0400,177.783,178.842,176.892,177.923,14.8619
18.04.2018 13:00:00.000 GMT-0400,177.903,178.723,177.772,177.852,9.104
19.04.2018 09:00:00.000 GMT-0400,174.792,175.402,173.162,173.343,19.0703
19.04.2018 13:00:00.000 GMT-0400,173.353,173.983,172.682,172.802,11.9884
20.04.2018 09:00:00.000 GMT-0400,170.582,171.202,165.612,165.942,18.726
20.04.2018 13:00:00.000 GMT-0400,165.942,166.473,165.453,165.723,39.0816
23.04.2018 09:00:00.000 GMT-0400,166.873,166.903,164.842,165.002,41.5759
23.04.2018 13:00:00.000 GMT-0400,165.003,165.293,164.103,165.233,27.1899
24.04.2018 09:00:00.000 GMT-0400,165.762,166.333,162.392,162.393,57.2261
24.04.2018 13:00:00.000 GMT-0400,162.372,163.353,161.233,162.822,40.1058
25.04.2018 09:00:00.000 GMT-0400,162.703,165.173,162.462,164.732,59.1006
25.04.2018 13:00:00.000 GMT-0400,164.742,165.433,163.363,163.721,75.707
26.04.2018 09:00:00.000 GMT-0400,164.123,165.732,163.681,164.103,101.3491
26.04.2018 13:00:00.000 GMT-0400,164.102,164.503,163.392,164.222,61.4753
27.04.2018 09:00:00.000 GMT-0400,164.083,164.292,160.672,162.328,104.5546
27.04.2018 13:00:00.000 GMT-0400,162.333,163.213,162.112,162.352,61.4525
30.04.2018 09:00:00.000 GMT-0400,162.193,167.263,161.872,165.263,63.5638
30.04.2018 13:00:00.000 GMT-0400,165.263,166.002,164.433,165.433,62.6615
01.05.2018 09:00:00.000 GMT-0400,166.462,168.213,165.322,167.592,89.677
01.05.2018 13:00:00.000 GMT-0400,167.582,169.202,166.953,169.102,71.7287
02.05.2018 09:00:00.000 GMT-0400,175.272,176.763,173.832,176.273,103.6988
02.05.2018 13:00:00.000 GMT-0400,176.272,177.763,176.192,176.512,80.7077
03.05.2018 09:00:00.000 GMT-0400,175.723,176.903,174.483,176.873,119.353
03.05.2018 13:00:00.000 GMT-0400,176.863,177.513,176.453,176.923,218.9831
04.05.2018 09:00:00.000 GMT-0400,178.202,183.883,178.202,183.372,93.0971
04.05.2018 13:00:00.000 GMT-0400,183.392,184.262,182.762,183.932,43.0664
07.05.2018 09:00:00.000 GMT-0400,185.262,187.683,185.203,185.693,47.5083
07.05.2018 13:00:00.000 GMT-0400,185.692,186.603,184.772,185.253,38.9658
08.05.2018 09:00:00.000 GMT-0400,185.022,186.233,183.712,185.152,48.5244
08.05.2018 13:00:00.000 GMT-0400,185.162,186.072,184.492,186.063,42.1133
09.05.2018 09:00:00.000 GMT-0400,186.593,186.703,185.242,186.262,45.9678
09.05.2018 13:00:00.000 GMT-0400,186.262,187.343,186.122,187.333,35.3003
10.05.2018 09:00:00.000 GMT-0400,187.762,190.013,187.742,189.863,45.3433
