Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,1403.503,1432.143,1392.923,1426.382,134.0001
30.01.2018 13:00:00.000 GMT-0500,1426.388,1439.253,1416.662,1438.208,71.7627
31.01.2018 09:00:00.000 GMT-0500,1456.273,1464.653,1453.153,1463.502,59.5632
31.01.2018 13:00:00.000 GMT-0500,1463.503,1472.703,1450.113,1452.373,56.9023
01.02.2018 09:00:00.000 GMT-0500,1447.173,1459.883,1424.133,1435.373,70.46010000000001
01.02.2018 13:00:00.000 GMT-0500,1435.373,1439.903,1387.757,1390.002,65.8211
02.02.2018 09:00:00.000 GMT-0500,1477.392,1498.003,1435.113,1462.393,116.9502
02.02.2018 13:00:00.000 GMT-0500,1462.293,1464.532,1414.412,1430.212,139.80259999999998
05.02.2018 09:00:00.000 GMT-0500,1405.002,1458.970,1388.212,1447.383,184.46359999999999
05.02.2018 13:00:00.000 GMT-0500,1447.391,1450.403,1320.722,1392.142,97.3178
06.02.2018 09:00:00.000 GMT-0500,1358.002,1424.353,1354.022,1418.892,115.45609999999999
06.02.2018 13:00:00.000 GMT-0500,1418.883,1443.993,1402.112,1442.739,65.9877
07.02.2018 09:00:00.000 GMT-0500,1449.902,1461.003,1431.492,1434.433,70.69030000000001
07.02.2018 13:00:00.000 GMT-0500,1434.433,1442.783,1416.102,1417.509,53.107800000000005
08.02.2018 09:00:00.000 GMT-0500,1431.243,1433.513,1367.627,1375.008,151.27589999999998
08.02.2018 13:00:00.000 GMT-0500,1375.932,1391.793,1350.022,1350.969,117.6665
09.02.2018 09:00:00.000 GMT-0500,1373.503,1383.522,1266.322,1299.997,199.2714
09.02.2018 13:00:00.000 GMT-0500,1299.632,1349.492,1279.649,1336.843,78.5658
12.02.2018 09:00:00.000 GMT-0500,1365.003,1387.003,1345.087,1379.999,81.2549
12.02.2018 13:00:00.000 GMT-0500,1380.262,1393.882,1374.763,1387.197,56.202200000000005
13.02.2018 09:00:00.000 GMT-0500,1386.313,1419.723,1384.052,1401.282,59.18990000000001
13.02.2018 13:00:00.000 GMT-0500,1401.283,1417.743,1400.375,1414.402,47.3947
14.02.2018 09:00:00.000 GMT-0500,1407.152,1442.493,1405.072,1438.102,64.089
14.02.2018 13:00:00.000 GMT-0500,1438.613,1452.093,1437.842,1449.818,46.3639
15.02.2018 09:00:00.000 GMT-0500,1467.122,1468.903,1437.252,1461.602,81.3112
15.02.2018 13:00:00.000 GMT-0500,1461.612,1465.453,1456.733,1461.000,42.2638
16.02.2018 09:00:00.000 GMT-0500,1458.003,1466.003,1454.012,1456.683,52.817
16.02.2018 13:00:00.000 GMT-0500,1456.678,1458.003,1446.910,1448.392,52.3288
20.02.2018 09:00:00.000 GMT-0500,1447.453,1484.993,1446.762,1484.572,101.8316
20.02.2018 13:00:00.000 GMT-0500,1484.582,1488.773,1454.162,1469.002,55.5769
21.02.2018 09:00:00.000 GMT-0500,1487.002,1497.983,1479.522,1494.492,18.967399999999998
21.02.2018 13:00:00.000 GMT-0500,1494.553,1503.502,1481.952,1483.537,6.5549
22.02.2018 09:00:00.000 GMT-0500,1496.402,1502.543,1485.342,1487.023,4.6053
22.02.2018 13:00:00.000 GMT-0500,1487.023,1489.003,1476.132,1484.573,4.7852
23.02.2018 09:00:00.000 GMT-0500,1495.682,1495.682,1486.893,1492.183,2.9313
23.02.2018 13:00:00.000 GMT-0500,1492.352,1500.029,1488.992,1500.003,3.8624
26.02.2018 09:00:00.000 GMT-0500,1509.642,1522.923,1507.522,1519.003,3.7575
26.02.2018 13:00:00.000 GMT-0500,1519.002,1521.952,1513.103,1521.952,1.2924
27.02.2018 09:00:00.000 GMT-0500,1525.003,1526.853,1507.502,1517.402,4.4334
27.02.2018 13:00:00.000 GMT-0500,1517.403,1519.783,1511.102,1513.229,2.4627
28.02.2018 09:00:00.000 GMT-0500,1521.002,1528.753,1515.142,1522.202,59.78620000000001
28.02.2018 13:00:00.000 GMT-0500,1522.202,1527.362,1513.032,1513.862,83.7164
01.03.2018 09:00:00.000 GMT-0500,1513.703,1519.051,1495.853,1499.192,132.08089999999999
01.03.2018 13:00:00.000 GMT-0500,1499.091,1500.582,1466.262,1494.219,130.0726
02.03.2018 09:00:00.000 GMT-0500,1471.002,1496.002,1456.163,1494.123,103.2395
02.03.2018 13:00:00.000 GMT-0500,1493.882,1500.503,1479.043,1500.312,3.2615999999999996
05.03.2018 09:00:00.000 GMT-0500,1494.252,1520.003,1481.633,1518.982,5.4635
05.03.2018 13:00:00.000 GMT-0500,1518.982,1525.003,1514.063,1524.003,2.0712
06.03.2018 09:00:00.000 GMT-0500,1533.502,1542.203,1528.105,1538.953,4.272
06.03.2018 13:00:00.000 GMT-0500,1538.953,1539.883,1533.613,1537.712,0.9529000000000001
07.03.2018 09:00:00.000 GMT-0500,1526.652,1541.903,1523.302,1534.173,3.1387
07.03.2018 13:00:00.000 GMT-0500,1534.163,1545.003,1529.633,1544.903,1.3828
08.03.2018 09:00:00.000 GMT-0500,1550.543,1554.863,1546.763,1550.462,1.6991
08.03.2018 13:00:00.000 GMT-0500,1550.462,1553.682,1546.023,1551.573,0.8529
09.03.2018 09:00:00.000 GMT-0500,1563.563,1571.233,1559.403,1569.572,2.1192
09.03.2018 13:00:00.000 GMT-0500,1569.573,1578.013,1569.053,1578.013,1.7546
12.03.2018 09:00:00.000 GMT-0400,1591.625,1605.323,1587.222,1601.422,2.3482
12.03.2018 13:00:00.000 GMT-0400,1601.423,1604.213,1595.142,1599.453,0.6855
13.03.2018 09:00:00.000 GMT-0400,1616.992,1617.003,1578.592,1591.772,4.9204
13.03.2018 13:00:00.000 GMT-0400,1591.763,1603.273,1585.272,1588.433,2.2742
14.03.2018 09:00:00.000 GMT-0400,1597.202,1606.503,1591.862,1600.203,3.7567
14.03.2018 13:00:00.000 GMT-0400,1600.202,1602.053,1590.972,1591.003,1.5068
15.03.2018 09:00:00.000 GMT-0400,1597.002,1597.003,1578.554,1586.482,2.7497
15.03.2018 13:00:00.000 GMT-0400,1586.412,1587.253,1578.543,1582.503,0.8442000000000001
16.03.2018 09:00:00.000 GMT-0400,1583.992,1589.453,1570.173,1574.483,2.7616
16.03.2018 13:00:00.000 GMT-0400,1574.472,1574.639,1567.728,1570.013,0.778
19.03.2018 09:00:00.000 GMT-0400,1557.003,1562.003,1526.122,1538.213,7.1511
19.03.2018 13:00:00.000 GMT-0400,1537.624,1546.413,1530.003,1545.582,2.5688
20.03.2018 09:00:00.000 GMT-0400,1550.732,1579.623,1545.993,1576.523,4.1249
20.03.2018 13:00:00.000 GMT-0400,1576.522,1586.993,1569.362,1586.559,0.9877
21.03.2018 09:00:00.000 GMT-0400,1586.503,1590.003,1573.152,1585.293,2.433
21.03.2018 13:00:00.000 GMT-0400,1585.303,1588.693,1563.672,1583.472,3.8964000000000003
22.03.2018 09:00:00.000 GMT-0400,1565.482,1573.703,1545.152,1557.502,7.538300000000001
22.03.2018 13:00:00.000 GMT-0400,1557.042,1565.553,1542.852,1545.113,4.459099999999999
23.03.2018 09:00:00.000 GMT-0400,1538.843,1549.493,1512.483,1513.963,9.3618
23.03.2018 13:00:00.000 GMT-0400,1513.882,1531.003,1495.475,1496.613,7.0118
26.03.2018 09:00:00.000 GMT-0400,1530.903,1539.283,1499.593,1521.373,8.462
26.03.2018 13:00:00.000 GMT-0400,1521.372,1557.003,1520.933,1555.772,2.9121
27.03.2018 09:00:00.000 GMT-0400,1572.153,1575.973,1556.562,1563.002,6.328600000000001
27.03.2018 13:00:00.000 GMT-0400,1563.403,1565.003,1483.063,1497.773,11.6638
28.03.2018 09:00:00.000 GMT-0400,1447.450,1456.403,1386.862,1433.522,26.3508
28.03.2018 13:00:00.000 GMT-0400,1433.793,1444.042,1413.792,1429.872,10.4263
29.03.2018 09:00:00.000 GMT-0400,1411.832,1424.003,1366.622,1415.642,81.23790000000001
29.03.2018 13:00:00.000 GMT-0400,1415.643,1455.333,1403.772,1445.533,6.8545
02.04.2018 09:00:00.000 GMT-0400,1417.802,1421.403,1361.282,1381.723,15.8005
02.04.2018 13:00:00.000 GMT-0400,1381.722,1383.633,1355.372,1370.762,7.4354
03.04.2018 09:00:00.000 GMT-0400,1392.182,1405.782,1355.752,1367.992,13.5195
03.04.2018 13:00:00.000 GMT-0400,1367.993,1414.003,1361.782,1391.353,8.5935
04.04.2018 09:00:00.000 GMT-0400,1357.402,1398.003,1353.282,1386.452,10.9722
04.04.2018 13:00:00.000 GMT-0400,1386.453,1415.553,1373.873,1411.873,4.66
05.04.2018 09:00:00.000 GMT-0400,1442.003,1454.733,1427.462,1454.272,5.9981
05.04.2018 13:00:00.000 GMT-0400,1454.343,1459.643,1437.722,1451.916,2.7836
06.04.2018 09:00:00.000 GMT-0400,1429.262,1452.593,1426.953,1436.003,7.179399999999999
06.04.2018 13:00:00.000 GMT-0400,1435.993,1435.993,1400.422,1406.872,6.4067
