Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,31.953,32.203,31.852,31.993,93.02019999999999
30.01.2018 13:00:00.000 GMT-0500,31.992,32.073,31.879,31.892,79.6407
31.01.2018 09:00:00.000 GMT-0500,32.093,32.283,32.012,32.202,84.58709999999999
31.01.2018 13:00:00.000 GMT-0500,32.203,32.293,31.962,32.012,102.2529
01.02.2018 09:00:00.000 GMT-0500,32.042,32.403,31.973,32.352,95.24619999999999
01.02.2018 13:00:00.000 GMT-0500,32.352,32.502,32.248,32.497,77.9542
02.02.2018 09:00:00.000 GMT-0500,32.503,32.673,32.262,32.351,100.42159999999998
02.02.2018 13:00:00.000 GMT-0500,32.343,32.393,31.872,31.933,97.9143
05.02.2018 09:00:00.000 GMT-0500,31.152,31.983,31.092,31.733,92.88240000000002
05.02.2018 13:00:00.000 GMT-0500,31.732,31.733,29.513,30.269,97.2124
06.02.2018 09:00:00.000 GMT-0500,29.452,31.243,29.313,30.532,152.9937
06.02.2018 13:00:00.000 GMT-0500,30.532,31.292,30.102,31.222,105.4538
07.02.2018 09:00:00.000 GMT-0500,31.122,31.743,30.872,31.541,106.7827
07.02.2018 13:00:00.000 GMT-0500,31.541,31.632,31.162,31.242,87.1971
08.02.2018 09:00:00.000 GMT-0500,31.342,31.383,30.208,30.373,103.12
08.02.2018 13:00:00.000 GMT-0500,30.372,30.883,29.762,29.762,105.71960000000001
09.02.2018 09:00:00.000 GMT-0500,30.242,30.393,29.202,29.583,107.65
09.02.2018 13:00:00.000 GMT-0500,29.572,30.603,29.140,30.333,104.20159999999998
12.02.2018 09:00:00.000 GMT-0500,30.643,31.233,30.552,31.212,105.7294
12.02.2018 13:00:00.000 GMT-0500,31.213,31.443,31.052,31.112,87.3876
13.02.2018 09:00:00.000 GMT-0500,30.963,31.403,30.772,31.123,74.1372
13.02.2018 13:00:00.000 GMT-0500,31.122,31.383,31.120,31.182,69.3837
14.02.2018 09:00:00.000 GMT-0500,31.203,31.712,31.062,31.663,99.3188
14.02.2018 13:00:00.000 GMT-0500,31.662,32.033,31.662,32.008,103.7963
15.02.2018 09:00:00.000 GMT-0500,32.433,32.473,31.882,32.083,85.0227
15.02.2018 13:00:00.000 GMT-0500,32.082,32.233,32.022,32.212,72.4717
16.02.2018 09:00:00.000 GMT-0500,32.012,32.263,31.932,32.162,85.60929999999999
16.02.2018 13:00:00.000 GMT-0500,32.172,32.193,31.963,31.983,114.9667
20.02.2018 09:00:00.000 GMT-0500,31.962,32.163,31.782,32.063,107.607
20.02.2018 13:00:00.000 GMT-0500,32.062,32.073,31.762,31.933,118.1635
21.02.2018 09:00:00.000 GMT-0500,31.823,32.153,31.782,32.153,69.0188
21.02.2018 13:00:00.000 GMT-0500,32.152,32.373,31.882,31.883,65.0079
22.02.2018 09:00:00.000 GMT-0500,32.003,32.143,31.842,31.992,50.7154
22.02.2018 13:00:00.000 GMT-0500,31.993,32.053,31.602,31.703,54.280100000000004
23.02.2018 09:00:00.000 GMT-0500,31.852,31.953,31.782,31.863,55.376599999999996
23.02.2018 13:00:00.000 GMT-0500,31.862,32.063,31.792,32.043,77.4923
26.02.2018 09:00:00.000 GMT-0500,32.172,32.333,32.062,32.322,71.1962
26.02.2018 13:00:00.000 GMT-0500,32.323,32.453,32.262,32.442,132.31459999999998
27.02.2018 09:00:00.000 GMT-0500,32.353,32.853,32.342,32.732,57.696400000000004
27.02.2018 13:00:00.000 GMT-0500,32.733,32.793,32.342,32.343,52.1907
28.02.2018 09:00:00.000 GMT-0500,32.502,32.773,32.392,32.533,44.3906
28.02.2018 13:00:00.000 GMT-0500,32.532,32.653,32.102,32.103,61.733999999999995
01.03.2018 09:00:00.000 GMT-0500,32.073,32.352,31.862,31.952,47.1715
01.03.2018 13:00:00.000 GMT-0500,31.953,31.953,31.372,31.493,44.7837
02.03.2018 09:00:00.000 GMT-0500,31.132,31.663,30.642,31.612,53.4808
02.03.2018 13:00:00.000 GMT-0500,31.613,31.703,31.303,31.633,49.4939
05.03.2018 09:00:00.000 GMT-0500,31.363,32.173,31.173,32.153,52.3358
05.03.2018 13:00:00.000 GMT-0500,32.152,32.353,32.122,32.142,55.7938
06.03.2018 09:00:00.000 GMT-0500,32.303,32.343,31.962,32.262,45.4551
06.03.2018 13:00:00.000 GMT-0500,32.263,32.323,32.052,32.123,52.4821
07.03.2018 09:00:00.000 GMT-0500,31.843,32.013,31.592,31.872,61.28189999999999
07.03.2018 13:00:00.000 GMT-0500,31.872,32.233,31.772,32.193,59.542100000000005
08.03.2018 09:00:00.000 GMT-0500,32.212,32.273,31.822,31.953,60.3956
08.03.2018 13:00:00.000 GMT-0500,31.952,32.273,31.912,32.202,62.4556
09.03.2018 09:00:00.000 GMT-0500,32.453,32.703,32.412,32.622,95.465
09.03.2018 13:00:00.000 GMT-0500,32.623,32.733,32.602,32.713,134.7534
12.03.2018 09:00:00.000 GMT-0400,32.703,33.053,32.652,32.852,57.8194
12.03.2018 13:00:00.000 GMT-0400,32.853,33.013,32.822,32.852,70.518
13.03.2018 09:00:00.000 GMT-0400,33.003,33.003,32.483,32.633,71.7778
13.03.2018 13:00:00.000 GMT-0400,32.632,32.743,32.312,32.373,74.88220000000001
14.03.2018 09:00:00.000 GMT-0400,32.532,32.533,31.942,32.192,66.196
14.03.2018 13:00:00.000 GMT-0400,32.193,32.323,32.022,32.152,74.8623
15.03.2018 09:00:00.000 GMT-0400,32.303,32.343,31.942,32.152,85.3343
15.03.2018 13:00:00.000 GMT-0400,32.153,32.203,32.012,32.122,71.2774
16.03.2018 09:00:00.000 GMT-0400,32.183,32.573,32.152,32.423,63.7006
16.03.2018 13:00:00.000 GMT-0400,32.422,32.433,32.162,32.162,79.1422
19.03.2018 09:00:00.000 GMT-0400,32.183,32.223,31.892,31.943,67.51089999999999
19.03.2018 13:00:00.000 GMT-0400,31.942,32.063,31.692,31.993,62.6212
20.03.2018 09:00:00.000 GMT-0400,32.093,32.203,31.892,32.113,52.538
20.03.2018 13:00:00.000 GMT-0400,32.112,32.143,31.972,31.992,70.1494
21.03.2018 09:00:00.000 GMT-0400,32.022,32.113,31.692,32.072,57.1453
21.03.2018 13:00:00.000 GMT-0400,32.073,32.453,31.882,31.882,56.7412
22.03.2018 09:00:00.000 GMT-0400,31.463,31.483,30.672,31.022,59.9024
22.03.2018 13:00:00.000 GMT-0400,31.023,31.232,30.432,30.553,47.2183
23.03.2018 09:00:00.000 GMT-0400,30.712,30.823,29.652,29.812,47.0144
23.03.2018 13:00:00.000 GMT-0400,29.802,30.163,29.062,29.183,46.638400000000004
26.03.2018 09:00:00.000 GMT-0400,29.932,30.193,29.672,30.022,50.7584
26.03.2018 13:00:00.000 GMT-0400,30.023,30.563,29.962,30.452,68.3686
27.03.2018 09:00:00.000 GMT-0400,30.673,30.673,30.302,30.452,54.962
27.03.2018 13:00:00.000 GMT-0400,30.453,30.503,29.222,29.523,49.372699999999995
28.03.2018 09:00:00.000 GMT-0400,29.863,29.963,29.022,29.362,36.103300000000004
28.03.2018 13:00:00.000 GMT-0400,29.363,29.702,29.292,29.393,39.3652
29.03.2018 09:00:00.000 GMT-0400,29.583,29.723,29.332,29.612,42.0944
29.03.2018 13:00:00.000 GMT-0400,29.613,30.143,29.552,29.973,52.7984
02.04.2018 09:00:00.000 GMT-0400,29.882,30.063,28.962,29.133,45.474
02.04.2018 13:00:00.000 GMT-0400,29.122,29.353,28.762,29.303,47.8613
03.04.2018 09:00:00.000 GMT-0400,29.553,29.653,29.202,29.353,46.8901
03.04.2018 13:00:00.000 GMT-0400,29.352,29.653,29.112,29.605,49.194199999999995
04.04.2018 09:00:00.000 GMT-0400,29.013,29.663,28.955,29.552,39.1881
04.04.2018 13:00:00.000 GMT-0400,29.553,29.973,29.272,29.882,44.5238
05.04.2018 09:00:00.000 GMT-0400,30.193,30.553,30.122,30.472,43.112
05.04.2018 13:00:00.000 GMT-0400,30.473,30.543,30.292,30.332,40.8345
06.04.2018 09:00:00.000 GMT-0400,30.052,30.293,29.772,29.933,43.338800000000006
06.04.2018 13:00:00.000 GMT-0400,29.932,29.933,29.382,29.632,59.7786
09.04.2018 09:00:00.000 GMT-0400,29.862,30.403,29.803,30.353,43.03959999999999
09.04.2018 13:00:00.000 GMT-0400,30.352,30.633,29.842,29.883,48.844
10.04.2018 09:00:00.000 GMT-0400,30.492,30.593,30.232,30.412,50.057
10.04.2018 13:00:00.000 GMT-0400,30.413,30.553,30.352,30.483,38.602399999999996
11.04.2018 09:00:00.000 GMT-0400,30.162,30.243,29.952,30.033,43.3575
11.04.2018 13:00:00.000 GMT-0400,30.043,30.133,29.902,29.922,38.0711
12.04.2018 09:00:00.000 GMT-0400,30.243,30.683,30.182,30.653,58.813100000000006
12.04.2018 13:00:00.000 GMT-0400,30.652,30.803,30.442,30.682,51.2475
13.04.2018 09:00:00.000 GMT-0400,31.182,31.183,29.572,29.932,28.661900000000003
13.04.2018 13:00:00.000 GMT-0400,29.933,30.023,29.662,29.822,28.747300000000003
16.04.2018 09:00:00.000 GMT-0400,30.093,30.253,29.482,29.853,40.6943
16.04.2018 13:00:00.000 GMT-0400,29.852,30.373,29.852,29.933,67.3369
17.04.2018 09:00:00.000 GMT-0400,30.223,30.383,30.092,30.172,44.2034
17.04.2018 13:00:00.000 GMT-0400,30.173,30.183,29.892,30.023,59.7163
18.04.2018 09:00:00.000 GMT-0400,30.052,30.223,29.532,29.603,63.21600000000001
18.04.2018 13:00:00.000 GMT-0400,29.602,29.663,29.512,29.532,81.9913
19.04.2018 09:00:00.000 GMT-0400,29.543,30.243,29.543,30.102,56.775000000000006
19.04.2018 13:00:00.000 GMT-0400,30.103,30.243,29.972,30.203,52.0598
20.04.2018 09:00:00.000 GMT-0400,30.333,30.533,30.142,30.292,56.7448
20.04.2018 13:00:00.000 GMT-0400,30.293,30.393,30.152,30.263,61.436499999999995
23.04.2018 09:00:00.000 GMT-0400,30.283,30.403,30.132,30.382,54.81660000000001
23.04.2018 13:00:00.000 GMT-0400,30.383,30.403,30.192,30.312,69.6486
24.04.2018 09:00:00.000 GMT-0400,30.503,30.863,30.332,30.333,65.35040000000001
24.04.2018 13:00:00.000 GMT-0400,30.332,30.433,30.012,30.182,49.173899999999996
25.04.2018 09:00:00.000 GMT-0400,30.123,30.243,29.812,30.102,56.077200000000005
25.04.2018 13:00:00.000 GMT-0400,30.102,30.353,30.012,30.153,74.7077
26.04.2018 09:00:00.000 GMT-0400,30.062,30.243,30.012,30.192,84.9745
26.04.2018 13:00:00.000 GMT-0400,30.193,30.293,30.072,30.083,73.0874
27.04.2018 09:00:00.000 GMT-0400,30.052,30.213,30.012,30.192,98.66909999999999
27.04.2018 13:00:00.000 GMT-0400,30.192,30.223,30.120,30.162,104.8441
30.04.2018 09:00:00.000 GMT-0400,30.262,30.433,30.122,30.252,71.3417
30.04.2018 13:00:00.000 GMT-0400,30.252,30.303,29.942,29.952,85.1194
01.05.2018 09:00:00.000 GMT-0400,29.942,29.942,29.642,29.820,87.375
