Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,183.142,188.193,182.143,186.862,84.6495
30.01.2018 13:00:00.000 GMT-0500,186.863,187.812,186.262,187.103,57.326499999999996
31.01.2018 09:00:00.000 GMT-0500,188.383,189.833,188.132,188.552,57.6974
31.01.2018 13:00:00.000 GMT-0500,188.552,188.713,185.242,186.902,64.5287
01.02.2018 09:00:00.000 GMT-0500,188.635,195.333,188.513,194.452,158.2421
01.02.2018 13:00:00.000 GMT-0500,194.452,194.583,192.273,193.113,127.9788
02.02.2018 09:00:00.000 GMT-0500,192.162,194.252,190.355,193.132,189.6143
02.02.2018 13:00:00.000 GMT-0500,193.132,193.143,190.062,190.163,167.7912
05.02.2018 09:00:00.000 GMT-0500,187.003,190.623,186.513,188.302,199.71339999999998
05.02.2018 13:00:00.000 GMT-0500,188.302,188.313,180.723,181.553,150.5842
06.02.2018 09:00:00.000 GMT-0500,178.263,185.773,177.762,182.013,232.40370000000001
06.02.2018 13:00:00.000 GMT-0500,181.992,185.403,179.723,185.333,154.70589999999999
07.02.2018 09:00:00.000 GMT-0500,183.343,185.093,181.942,182.172,82.1663
07.02.2018 13:00:00.000 GMT-0500,182.183,182.703,179.992,180.182,78.0594
08.02.2018 09:00:00.000 GMT-0500,181.062,181.832,173.532,174.733,106.7433
08.02.2018 13:00:00.000 GMT-0500,174.652,177.682,171.883,171.923,77.2692
09.02.2018 09:00:00.000 GMT-0500,174.762,176.793,168.403,171.443,135.0451
09.02.2018 13:00:00.000 GMT-0500,171.443,176.793,167.272,176.012,218.7658
12.02.2018 09:00:00.000 GMT-0500,177.202,177.312,171.882,175.612,231.02100000000002
12.02.2018 13:00:00.000 GMT-0500,175.692,177.553,175.162,176.443,159.1355
13.02.2018 09:00:00.000 GMT-0500,175.272,175.972,173.562,173.912,121.93929999999999
13.02.2018 13:00:00.000 GMT-0500,173.932,175.072,173.122,173.152,60.179500000000004
14.02.2018 09:00:00.000 GMT-0500,173.593,178.252,173.582,178.013,89.2167
14.02.2018 13:00:00.000 GMT-0500,178.032,179.763,177.822,179.442,59.887699999999995
15.02.2018 09:00:00.000 GMT-0500,180.352,180.353,176.882,179.122,81.3098
15.02.2018 13:00:00.000 GMT-0500,179.133,179.913,178.772,179.902,54.548100000000005
16.02.2018 09:00:00.000 GMT-0500,179.172,179.893,178.162,178.483,67.9537
16.02.2018 13:00:00.000 GMT-0500,178.492,178.843,176.343,177.413,80.80290000000001
20.02.2018 09:00:00.000 GMT-0500,175.852,177.953,175.222,177.722,89.40190000000001
20.02.2018 13:00:00.000 GMT-0500,177.723,177.773,175.122,176.102,76.3973
21.02.2018 09:00:00.000 GMT-0500,176.882,181.282,176.422,180.282,41.2926
21.02.2018 13:00:00.000 GMT-0500,180.273,180.922,177.942,177.952,41.1432
22.02.2018 09:00:00.000 GMT-0500,178.852,180.223,177.842,178.192,44.0745
22.02.2018 13:00:00.000 GMT-0500,178.173,179.223,177.443,178.973,40.7094
23.02.2018 09:00:00.000 GMT-0500,179.902,182.043,179.582,181.983,38.93470000000001
23.02.2018 13:00:00.000 GMT-0500,181.983,183.382,181.392,183.302,29.113599999999998
26.02.2018 09:00:00.000 GMT-0500,184.802,185.663,183.262,184.612,37.594500000000004
26.02.2018 13:00:00.000 GMT-0500,184.622,185.153,184.032,184.942,20.705599999999997
27.02.2018 09:00:00.000 GMT-0500,184.453,184.733,181.673,183.272,49.836
27.02.2018 13:00:00.000 GMT-0500,183.283,183.303,181.512,181.513,38.0616
28.02.2018 09:00:00.000 GMT-0500,182.362,182.883,181.082,181.842,35.6759
28.02.2018 13:00:00.000 GMT-0500,181.812,182.273,178.353,178.363,34.7997
01.03.2018 09:00:00.000 GMT-0500,179.072,180.133,176.603,176.732,165.01409999999998
01.03.2018 13:00:00.000 GMT-0500,176.732,176.882,174.472,175.923,91.43440000000001
02.03.2018 09:00:00.000 GMT-0500,173.403,176.263,173.002,176.142,59.0794
02.03.2018 13:00:00.000 GMT-0500,176.113,177.122,174.313,176.612,40.161300000000004
05.03.2018 09:00:00.000 GMT-0500,176.148,180.503,175.922,180.503,38.068799999999996
05.03.2018 13:00:00.000 GMT-0500,180.502,181.153,179.382,180.472,26.1984
06.03.2018 09:00:00.000 GMT-0500,181.732,182.393,179.932,180.742,37.307199999999995
06.03.2018 13:00:00.000 GMT-0500,180.742,180.983,179.132,179.802,23.4864
07.03.2018 09:00:00.000 GMT-0500,178.743,182.083,178.293,181.913,34.6638
07.03.2018 13:00:00.000 GMT-0500,181.892,183.833,181.352,183.723,24.357300000000002
08.03.2018 09:00:00.000 GMT-0500,183.563,184.403,181.992,182.373,29.0184
08.03.2018 13:00:00.000 GMT-0500,182.372,182.623,181.482,182.293,19.8486
09.03.2018 09:00:00.000 GMT-0500,184.002,185.362,183.242,185.113,28.416900000000002
09.03.2018 13:00:00.000 GMT-0500,185.112,185.523,184.603,185.212,18.716099999999997
12.03.2018 09:00:00.000 GMT-0400,185.352,186.113,184.232,185.583,31.4739
12.03.2018 13:00:00.000 GMT-0400,185.582,185.893,184.722,184.772,17.2967
13.03.2018 09:00:00.000 GMT-0400,185.793,185.983,181.172,182.423,38.4668
13.03.2018 13:00:00.000 GMT-0400,182.442,182.993,181.382,181.903,28.494
14.03.2018 09:00:00.000 GMT-0400,182.753,183.822,181.873,182.753,39.8512
14.03.2018 13:00:00.000 GMT-0400,182.743,184.243,182.213,184.242,28.5532
15.03.2018 09:00:00.000 GMT-0400,183.222,183.862,182.222,182.593,29.4128
15.03.2018 13:00:00.000 GMT-0400,182.592,184.003,182.263,183.902,22.8348
16.03.2018 09:00:00.000 GMT-0400,184.502,185.343,183.433,184.492,28.5974
16.03.2018 13:00:00.000 GMT-0400,184.482,185.303,184.182,185.022,15.939599999999999
19.03.2018 09:00:00.000 GMT-0400,177.173,177.173,170.083,172.643,85.78
