Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,1167.933,1176.752,1165.142,1170.873,92.9937
30.01.2018 13:00:00.000 GMT-0500,1170.852,1171.673,1163.712,1164.083,72.1266
31.01.2018 09:00:00.000 GMT-0500,1170.462,1173.643,1166.472,1170.503,77.7302
31.01.2018 13:00:00.000 GMT-0500,1170.512,1172.503,1159.453,1172.203,79.51689999999999
01.02.2018 09:00:00.000 GMT-0500,1163.702,1172.992,1157.823,1171.503,86.5301
01.02.2018 13:00:00.000 GMT-0500,1171.512,1174.013,1158.123,1167.712,78.5489
02.02.2018 09:00:00.000 GMT-0500,1121.993,1123.113,1107.832,1119.562,132.1122
02.02.2018 13:00:00.000 GMT-0500,1119.562,1120.873,1112.743,1113.802,102.6226
05.02.2018 09:00:00.000 GMT-0500,1093.003,1109.813,1078.632,1092.002,115.31200000000001
05.02.2018 13:00:00.000 GMT-0500,1092.002,1092.002,1052.138,1058.383,114.3116
06.02.2018 09:00:00.000 GMT-0500,1031.002,1080.003,1024.548,1060.602,149.8548
06.02.2018 13:00:00.000 GMT-0500,1060.602,1081.772,1045.863,1080.563,112.9552
07.02.2018 09:00:00.000 GMT-0500,1081.502,1081.972,1061.342,1061.912,116.84179999999999
07.02.2018 13:00:00.000 GMT-0500,1061.912,1064.012,1048.723,1048.773,109.57680000000002
08.02.2018 09:00:00.000 GMT-0500,1054.913,1058.513,1020.292,1026.002,128.4581
08.02.2018 13:00:00.000 GMT-0500,1026.002,1039.003,1002.592,1002.992,111.3438
09.02.2018 09:00:00.000 GMT-0500,1019.553,1031.993,992.882,1010.002,136.56879999999998
09.02.2018 13:00:00.000 GMT-0500,1010.003,1044.003,993.163,1036.312,124.91640000000001
12.02.2018 09:00:00.000 GMT-0500,1048.502,1061.803,1040.905,1053.632,110.87530000000001
12.02.2018 13:00:00.000 GMT-0500,1053.632,1060.413,1050.253,1052.173,78.0749
13.02.2018 09:00:00.000 GMT-0500,1044.093,1058.383,1044.093,1052.273,85.2655
13.02.2018 13:00:00.000 GMT-0500,1052.273,1058.782,1050.933,1052.863,65.8769
14.02.2018 09:00:00.000 GMT-0500,1047.813,1069.803,1047.038,1069.073,89.74719999999999
14.02.2018 13:00:00.000 GMT-0500,1069.093,1071.702,1063.952,1069.572,62.1956
15.02.2018 09:00:00.000 GMT-0500,1081.492,1083.443,1064.702,1081.503,81.7391
15.02.2018 13:00:00.000 GMT-0500,1081.503,1091.863,1079.252,1089.102,62.6405
16.02.2018 09:00:00.000 GMT-0500,1089.002,1104.903,1088.993,1102.913,81.32169999999999
16.02.2018 13:00:00.000 GMT-0500,1102.903,1103.703,1091.363,1095.022,79.5653
20.02.2018 09:00:00.000 GMT-0500,1091.862,1112.153,1089.263,1111.032,81.8495
20.02.2018 13:00:00.000 GMT-0500,1111.032,1114.012,1097.373,1102.923,67.6273
21.02.2018 09:00:00.000 GMT-0500,1108.853,1131.543,1106.962,1124.022,91.6308
21.02.2018 13:00:00.000 GMT-0500,1124.022,1133.993,1112.183,1112.672,88.34460000000001
22.02.2018 09:00:00.000 GMT-0500,1118.603,1123.023,1109.503,1115.063,75.8033
22.02.2018 13:00:00.000 GMT-0500,1115.063,1115.712,1102.703,1106.842,76.7742
23.02.2018 09:00:00.000 GMT-0500,1115.643,1115.872,1105.123,1113.952,60.533199999999994
23.02.2018 13:00:00.000 GMT-0500,1113.952,1127.023,1111.733,1126.632,55.9327
26.02.2018 09:00:00.000 GMT-0500,1130.962,1138.022,1127.083,1132.783,79.7511
26.02.2018 13:00:00.000 GMT-0500,1132.783,1143.973,1132.192,1143.823,57.710699999999996
27.02.2018 09:00:00.000 GMT-0500,1141.943,1143.512,1122.992,1129.962,98.296
27.02.2018 13:00:00.000 GMT-0500,1129.962,1132.393,1118.492,1118.982,80.1089
28.02.2018 09:00:00.000 GMT-0500,1122.862,1127.702,1109.512,1117.753,113.9875
28.02.2018 13:00:00.000 GMT-0500,1117.753,1124.782,1104.832,1105.242,92.37989999999999
01.03.2018 09:00:00.000 GMT-0500,1109.003,1110.283,1088.753,1090.252,114.8917
01.03.2018 13:00:00.000 GMT-0500,1090.202,1090.202,1067.352,1068.722,131.3863
02.03.2018 09:00:00.000 GMT-0500,1053.502,1075.893,1048.513,1074.442,120.8413
02.03.2018 13:00:00.000 GMT-0500,1074.442,1081.992,1065.113,1078.572,85.1789
05.03.2018 09:00:00.000 GMT-0500,1074.963,1093.982,1069.598,1092.823,81.3537
