Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,115.682,116.603,114.982,115.283,239.40749999999997
30.01.2018 13:00:00.000 GMT-0500,115.283,115.843,115.122,115.123,174.571
31.01.2018 09:00:00.000 GMT-0500,115.792,116.273,115.163,115.823,170.47860000000003
31.01.2018 13:00:00.000 GMT-0500,115.823,116.673,115.342,115.702,176.7098
01.02.2018 09:00:00.000 GMT-0500,115.772,117.003,115.583,116.573,209.1387
01.02.2018 13:00:00.000 GMT-0500,116.573,116.903,116.152,116.892,165.21699999999998
02.02.2018 09:00:00.000 GMT-0500,117.053,117.053,115.772,115.802,264.7648
02.02.2018 13:00:00.000 GMT-0500,115.802,115.923,114.162,114.312,251.27820000000003
05.02.2018 09:00:00.000 GMT-0500,112.933,114.613,112.262,113.952,297.6626
05.02.2018 13:00:00.000 GMT-0500,113.952,113.963,106.223,108.822,324.84999999999997
06.02.2018 09:00:00.000 GMT-0500,107.003,111.853,106.622,109.312,413.411
06.02.2018 13:00:00.000 GMT-0500,109.312,112.502,108.153,112.132,359.7202
07.02.2018 09:00:00.000 GMT-0500,111.743,114.062,111.162,113.253,338.3667
07.02.2018 13:00:00.000 GMT-0500,113.242,114.462,112.472,112.882,259.0946
08.02.2018 09:00:00.000 GMT-0500,113.122,113.123,109.173,109.642,370.8598
08.02.2018 13:00:00.000 GMT-0500,109.642,110.973,108.023,108.043,358.8445
09.02.2018 09:00:00.000 GMT-0500,109.343,110.213,106.758,107.842,350.9758
09.02.2018 13:00:00.000 GMT-0500,107.803,110.963,106.242,110.093,317.78929999999997
12.02.2018 09:00:00.000 GMT-0500,111.342,112.193,110.082,112.043,335.423
12.02.2018 13:00:00.000 GMT-0500,112.042,112.743,111.442,111.682,215.6628
13.02.2018 09:00:00.000 GMT-0500,111.732,112.802,110.842,112.203,250.1488
13.02.2018 13:00:00.000 GMT-0500,112.193,113.072,112.193,112.513,171.463
14.02.2018 09:00:00.000 GMT-0500,112.672,114.542,112.672,114.432,166.15030000000002
14.02.2018 13:00:00.000 GMT-0500,114.433,115.292,114.282,115.052,124.07749999999999
15.02.2018 09:00:00.000 GMT-0500,116.023,116.023,114.242,115.032,149.9093
15.02.2018 13:00:00.000 GMT-0500,115.032,115.543,114.832,115.542,99.9231
16.02.2018 09:00:00.000 GMT-0500,114.623,116.083,114.623,115.573,201.11559999999997
16.02.2018 13:00:00.000 GMT-0500,115.573,115.683,114.662,114.682,205.223
20.02.2018 09:00:00.000 GMT-0500,114.772,115.403,114.002,114.993,199.64909999999998
20.02.2018 13:00:00.000 GMT-0500,114.992,115.082,113.982,114.802,176.50189999999998
21.02.2018 09:00:00.000 GMT-0500,115.103,116.813,114.768,116.802,205.26780000000002
21.02.2018 13:00:00.000 GMT-0500,116.812,117.473,115.102,115.192,235.4153
22.02.2018 09:00:00.000 GMT-0500,115.752,116.453,115.002,116.042,243.4361
22.02.2018 13:00:00.000 GMT-0500,116.042,116.333,114.792,115.022,209.4839
23.02.2018 09:00:00.000 GMT-0500,115.903,116.313,115.362,116.292,220.1435
23.02.2018 13:00:00.000 GMT-0500,116.292,117.402,115.942,117.363,149.40109999999999
26.02.2018 09:00:00.000 GMT-0500,118.643,118.643,117.343,118.373,216.4716
26.02.2018 13:00:00.000 GMT-0500,118.382,118.903,118.032,118.882,129.3216
27.02.2018 09:00:00.000 GMT-0500,118.993,119.343,117.712,118.813,90.8328
27.02.2018 13:00:00.000 GMT-0500,118.812,119.123,117.392,117.392,26.1031
28.02.2018 09:00:00.000 GMT-0500,118.202,118.502,116.962,117.443,31.0706
28.02.2018 13:00:00.000 GMT-0500,117.422,117.753,115.422,115.443,29.8044
01.03.2018 09:00:00.000 GMT-0500,115.283,116.683,114.912,115.043,71.93709999999999
01.03.2018 13:00:00.000 GMT-0500,115.033,115.033,112.672,113.333,57.427400000000006
02.03.2018 09:00:00.000 GMT-0500,112.502,113.303,111.132,113.143,78.63770000000001
02.03.2018 13:00:00.000 GMT-0500,113.152,113.573,112.013,113.262,52.2097
05.03.2018 09:00:00.000 GMT-0500,112.403,115.093,111.943,115.073,46.593
05.03.2018 13:00:00.000 GMT-0500,115.093,115.933,115.033,115.083,26.2335
06.03.2018 09:00:00.000 GMT-0500,116.322,116.322,114.342,115.283,45.9674
06.03.2018 13:00:00.000 GMT-0500,115.262,115.633,114.702,115.173,14.556799999999999
07.03.2018 09:00:00.000 GMT-0500,113.993,114.543,113.132,113.603,43.51049999999999
07.03.2018 13:00:00.000 GMT-0500,113.593,115.113,113.132,114.782,23.872500000000002
08.03.2018 09:00:00.000 GMT-0500,115.252,115.252,113.215,113.982,29.4258
08.03.2018 13:00:00.000 GMT-0500,113.993,114.943,113.842,114.763,18.9251
09.03.2018 09:00:00.000 GMT-0500,116.503,117.613,115.702,117.432,24.878600000000002
09.03.2018 13:00:00.000 GMT-0500,117.442,118.083,117.442,118.012,15.095500000000001
12.03.2018 09:00:00.000 GMT-0400,118.042,118.772,117.262,117.442,19.540399999999998
12.03.2018 13:00:00.000 GMT-0400,117.443,118.263,117.382,117.703,11.8186
13.03.2018 09:00:00.000 GMT-0400,118.323,118.493,116.552,117.232,29.7044
