Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,167.552,168.013,166.382,167.613,80.90679999999999
30.01.2018 13:00:00.000 GMT-0500,167.613,167.833,166.913,167.192,58.322900000000004
31.01.2018 09:00:00.000 GMT-0500,167.803,169.413,167.182,168.903,60.3198
31.01.2018 13:00:00.000 GMT-0500,168.903,169.532,168.373,169.173,71.00370000000001
01.02.2018 09:00:00.000 GMT-0500,172.933,176.913,171.113,173.853,69.1257
01.02.2018 13:00:00.000 GMT-0500,173.863,174.993,171.823,172.902,66.89699999999999
02.02.2018 09:00:00.000 GMT-0500,172.062,177.223,171.982,174.762,86.39399999999999
02.02.2018 13:00:00.000 GMT-0500,174.762,175.193,170.442,170.623,80.2885
05.02.2018 09:00:00.000 GMT-0500,168.003,172.013,164.992,169.853,89.7675
05.02.2018 13:00:00.000 GMT-0500,169.853,170.243,164.082,164.082,102.4505
06.02.2018 09:00:00.000 GMT-0500,160.732,167.782,157.192,166.702,106.6305
06.02.2018 13:00:00.000 GMT-0500,166.702,169.382,164.632,169.252,81.1174
07.02.2018 09:00:00.000 GMT-0500,169.272,172.643,167.673,171.333,72.3282
07.02.2018 13:00:00.000 GMT-0500,171.323,171.553,168.682,168.792,43.1115
08.02.2018 09:00:00.000 GMT-0500,169.283,169.403,163.523,164.462,49.3542
08.02.2018 13:00:00.000 GMT-0500,164.463,166.333,160.762,160.772,43.3969
09.02.2018 09:00:00.000 GMT-0500,161.902,164.172,159.383,161.582,58.097
09.02.2018 13:00:00.000 GMT-0500,161.543,166.553,158.613,165.343,50.675
12.02.2018 09:00:00.000 GMT-0500,166.992,168.873,165.642,167.832,45.06219999999999
12.02.2018 13:00:00.000 GMT-0500,167.832,168.783,167.442,168.303,34.129599999999996
13.02.2018 09:00:00.000 GMT-0500,167.652,169.663,167.262,168.983,35.2682
13.02.2018 13:00:00.000 GMT-0500,168.982,170.772,168.942,170.153,30.438399999999998
14.02.2018 09:00:00.000 GMT-0500,170.323,172.243,169.892,171.822,33.957699999999996
14.02.2018 13:00:00.000 GMT-0500,171.822,172.683,171.382,172.532,26.1847
15.02.2018 09:00:00.000 GMT-0500,174.078,174.078,171.402,172.942,33.2233
15.02.2018 13:00:00.000 GMT-0500,172.943,174.682,172.943,174.653,22.3307
16.02.2018 09:00:00.000 GMT-0500,174.653,176.593,174.242,176.333,31.213399999999996
16.02.2018 13:00:00.000 GMT-0500,176.342,176.683,175.492,175.693,31.3152
20.02.2018 09:00:00.000 GMT-0500,175.612,176.193,174.072,176.152,30.515300000000003
20.02.2018 13:00:00.000 GMT-0500,176.153,176.443,174.622,175.462,27.4479
21.02.2018 09:00:00.000 GMT-0500,175.902,176.353,174.182,174.653,29.3991
21.02.2018 13:00:00.000 GMT-0500,174.653,175.572,172.332,172.383,36.5234
22.02.2018 09:00:00.000 GMT-0500,173.333,173.743,170.872,172.832,33.8182
22.02.2018 13:00:00.000 GMT-0500,172.833,173.873,172.162,172.952,29.368000000000002
23.02.2018 09:00:00.000 GMT-0500,174.080,174.993,172.553,174.553,14.3047
23.02.2018 13:00:00.000 GMT-0500,174.552,175.793,174.332,175.762,10.079
26.02.2018 09:00:00.000 GMT-0500,176.593,178.192,176.262,177.582,27.1493
26.02.2018 13:00:00.000 GMT-0500,177.585,178.112,177.242,177.852,20.019
27.02.2018 09:00:00.000 GMT-0500,177.913,179.173,177.412,178.392,29.198400000000003
27.02.2018 13:00:00.000 GMT-0500,178.393,178.752,175.962,175.982,23.227899999999998
28.02.2018 09:00:00.000 GMT-0500,176.483,179.003,176.403,177.963,31.6434
28.02.2018 13:00:00.000 GMT-0500,177.962,178.683,175.792,175.853,27.625999999999998
01.03.2018 09:00:00.000 GMT-0500,176.482,177.783,174.522,175.683,31.722600000000003
01.03.2018 13:00:00.000 GMT-0500,175.682,175.682,172.232,173.813,44.780699999999996
02.03.2018 09:00:00.000 GMT-0500,171.552,174.233,169.462,174.093,44.558
02.03.2018 13:00:00.000 GMT-0500,174.092,175.343,172.722,175.023,31.2735
05.03.2018 09:00:00.000 GMT-0500,174.843,177.923,173.002,177.663,24.6388
05.03.2018 13:00:00.000 GMT-0500,177.662,179.303,177.472,178.553,14.2386
06.03.2018 09:00:00.000 GMT-0500,179.333,180.142,177.582,178.173,24.528799999999997
06.03.2018 13:00:00.000 GMT-0500,178.173,178.553,176.992,177.532,22.0856
07.03.2018 09:00:00.000 GMT-0500,175.872,178.013,175.723,177.063,26.1699
07.03.2018 13:00:00.000 GMT-0500,177.052,179.732,176.432,179.293,13.1563
08.03.2018 09:00:00.000 GMT-0500,179.503,180.003,178.262,178.533,20.8739
08.03.2018 13:00:00.000 GMT-0500,178.532,179.393,177.622,179.293,16.4158
09.03.2018 09:00:00.000 GMT-0500,180.432,183.123,180.072,182.883,26.080099999999998
09.03.2018 13:00:00.000 GMT-0500,182.872,183.382,182.562,183.182,14.404800000000002
12.03.2018 09:00:00.000 GMT-0400,183.383,183.383,181.772,182.162,21.7125
12.03.2018 13:00:00.000 GMT-0400,182.163,183.575,182.152,182.653,14.774899999999999
13.03.2018 09:00:00.000 GMT-0400,183.793,183.822,180.183,181.602,18.6663
13.03.2018 13:00:00.000 GMT-0400,181.613,181.783,180.652,181.093,17.4143
14.03.2018 09:00:00.000 GMT-0400,182.043,182.043,179.972,180.742,26.543
14.03.2018 13:00:00.000 GMT-0400,180.713,181.503,179.682,180.190,26.0276
15.03.2018 09:00:00.000 GMT-0400,180.972,182.173,180.052,181.573,25.6617
