Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,93.703,93.703,92.112,92.822,89.50390000000002
30.01.2018 13:00:00.000 GMT-0500,92.812,93.182,92.582,92.763,55.258700000000005
31.01.2018 09:00:00.000 GMT-0500,93.822,94.483,93.522,94.253,66.517
31.01.2018 13:00:00.000 GMT-0500,94.252,95.402,93.522,95.373,69.9415
01.02.2018 09:00:00.000 GMT-0500,94.902,96.063,94.562,95.842,88.4118
01.02.2018 13:00:00.000 GMT-0500,95.843,95.932,93.612,94.253,65.3663
02.02.2018 09:00:00.000 GMT-0500,93.682,93.883,91.673,92.123,86.2811
02.02.2018 13:00:00.000 GMT-0500,92.132,92.622,91.822,92.003,76.2466
05.02.2018 09:00:00.000 GMT-0500,90.633,93.233,90.323,92.153,106.78309999999999
05.02.2018 13:00:00.000 GMT-0500,92.142,92.142,88.102,88.142,145.48610000000002
06.02.2018 09:00:00.000 GMT-0500,86.922,89.883,85.263,89.553,189.4984
06.02.2018 13:00:00.000 GMT-0500,89.553,91.483,88.042,91.353,151.7297
07.02.2018 09:00:00.000 GMT-0500,90.513,91.772,89.893,90.472,131.6075
07.02.2018 13:00:00.000 GMT-0500,90.473,90.762,89.223,89.603,111.71190000000001
08.02.2018 09:00:00.000 GMT-0500,89.773,89.892,86.542,86.963,170.3887
08.02.2018 13:00:00.000 GMT-0500,86.943,87.872,84.892,84.892,160.9612
09.02.2018 09:00:00.000 GMT-0500,86.382,87.602,84.142,85.553,172.469
09.02.2018 13:00:00.000 GMT-0500,85.563,88.903,83.862,88.033,186.8472
12.02.2018 09:00:00.000 GMT-0500,88.752,89.303,87.933,88.963,135.3186
12.02.2018 13:00:00.000 GMT-0500,88.963,89.793,88.722,89.192,79.81880000000001
13.02.2018 09:00:00.000 GMT-0500,88.532,89.143,87.803,88.872,91.3481
13.02.2018 13:00:00.000 GMT-0500,88.863,90.003,88.852,89.873,55.4181
14.02.2018 09:00:00.000 GMT-0500,88.603,90.133,88.502,90.053,105.207
14.02.2018 13:00:00.000 GMT-0500,90.062,90.983,89.982,90.852,60.5328
15.02.2018 09:00:00.000 GMT-0500,91.192,92.083,90.633,91.963,105.7518
15.02.2018 13:00:00.000 GMT-0500,91.963,92.702,91.962,92.692,61.5
16.02.2018 09:00:00.000 GMT-0500,92.552,93.503,92.442,93.022,84.1296
16.02.2018 13:00:00.000 GMT-0500,93.022,93.152,91.822,91.973,111.12459999999999
20.02.2018 09:00:00.000 GMT-0500,91.503,93.023,91.022,92.992,72.3426
20.02.2018 13:00:00.000 GMT-0500,92.982,93.063,92.102,92.772,70.5265
21.02.2018 09:00:00.000 GMT-0500,93.042,93.362,92.692,92.833,13.2315
21.02.2018 13:00:00.000 GMT-0500,92.832,93.253,91.532,91.553,24.4561
22.02.2018 09:00:00.000 GMT-0500,92.153,92.742,91.612,91.873,19.3669
22.02.2018 13:00:00.000 GMT-0500,91.862,92.243,91.372,91.762,19.5056
23.02.2018 09:00:00.000 GMT-0500,92.733,93.433,92.382,93.063,16.7652
23.02.2018 13:00:00.000 GMT-0500,93.062,94.072,92.912,94.072,12.1416
26.02.2018 09:00:00.000 GMT-0500,94.403,95.243,94.352,94.933,17.03
26.02.2018 13:00:00.000 GMT-0500,94.942,95.443,94.933,95.443,10.4434
27.02.2018 09:00:00.000 GMT-0500,95.753,95.833,94.562,95.302,23.6132
27.02.2018 13:00:00.000 GMT-0500,95.312,95.353,94.262,94.262,15.859
28.02.2018 09:00:00.000 GMT-0500,94.862,95.473,94.542,95.422,19.611500000000003
28.02.2018 13:00:00.000 GMT-0500,95.423,95.713,93.873,93.942,21.0194
01.03.2018 09:00:00.000 GMT-0500,94.082,94.583,92.393,93.062,49.1978
01.03.2018 13:00:00.000 GMT-0500,93.052,93.363,91.852,92.853,49.951899999999995
02.03.2018 09:00:00.000 GMT-0500,91.602,92.503,90.882,92.252,41.8143
02.03.2018 13:00:00.000 GMT-0500,92.253,93.113,91.363,92.802,24.5081
05.03.2018 09:00:00.000 GMT-0500,92.452,93.843,92.322,93.812,19.9554
05.03.2018 13:00:00.000 GMT-0500,93.823,94.283,93.412,93.643,15.1323
06.03.2018 09:00:00.000 GMT-0500,94.393,94.473,92.962,93.632,19.477999999999998
06.03.2018 13:00:00.000 GMT-0500,93.633,93.783,92.982,93.243,11.436900000000001
07.03.2018 09:00:00.000 GMT-0500,93.203,93.553,92.443,93.113,17.793699999999998
07.03.2018 13:00:00.000 GMT-0500,93.112,93.953,92.843,93.862,11.8793
08.03.2018 09:00:00.000 GMT-0500,94.302,95.103,94.092,94.362,17.5438
08.03.2018 13:00:00.000 GMT-0500,94.372,94.493,93.782,94.383,11.7942
09.03.2018 09:00:00.000 GMT-0500,95.303,96.262,95.012,96.022,17.6686
09.03.2018 13:00:00.000 GMT-0500,96.023,96.443,96.022,96.422,13.8296
12.03.2018 09:00:00.000 GMT-0400,96.562,96.922,96.072,96.762,15.4734
12.03.2018 13:00:00.000 GMT-0400,96.763,97.233,96.592,96.792,14.4482
13.03.2018 09:00:00.000 GMT-0400,97.113,97.242,94.573,95.082,18.0623
13.03.2018 13:00:00.000 GMT-0400,95.083,95.193,93.982,94.412,15.8732
14.03.2018 09:00:00.000 GMT-0400,95.142,95.413,93.763,94.353,20.6337
14.03.2018 13:00:00.000 GMT-0400,94.352,94.983,93.732,93.873,15.5592
15.03.2018 09:00:00.000 GMT-0400,93.603,94.583,92.842,94.392,13.961100000000002
15.03.2018 13:00:00.000 GMT-0400,94.393,94.503,93.822,94.192,11.417
16.03.2018 09:00:00.000 GMT-0400,94.752,95.383,93.942,94.183,15.3034
16.03.2018 13:00:00.000 GMT-0400,94.173,94.683,93.972,94.453,12.884599999999999
19.03.2018 09:00:00.000 GMT-0400,93.782,93.852,92.432,92.782,20.3825
19.03.2018 13:00:00.000 GMT-0400,92.773,93.033,92.113,92.923,19.586000000000002
20.03.2018 09:00:00.000 GMT-0400,93.083,93.773,93.022,93.472,16.7225
20.03.2018 13:00:00.000 GMT-0400,93.473,93.653,93.102,93.132,10.6923
21.03.2018 09:00:00.000 GMT-0400,92.972,93.373,92.562,93.202,13.0521
21.03.2018 13:00:00.000 GMT-0400,93.203,94.063,92.222,92.503,29.382700000000003
22.03.2018 09:00:00.000 GMT-0400,91.592,91.753,90.092,91.043,32.6803
22.03.2018 13:00:00.000 GMT-0400,91.032,91.412,89.713,89.792,25.9055
23.03.2018 09:00:00.000 GMT-0400,89.522,90.453,88.963,89.233,37.3719
23.03.2018 13:00:00.000 GMT-0400,89.222,90.443,87.272,87.285,36.09739999999999
26.03.2018 09:00:00.000 GMT-0400,90.582,92.733,90.423,92.403,32.5089
26.03.2018 13:00:00.000 GMT-0400,92.392,94.023,92.302,93.832,19.7648
27.03.2018 09:00:00.000 GMT-0400,95.003,95.143,92.762,92.972,32.8917
27.03.2018 13:00:00.000 GMT-0400,92.973,93.223,88.532,89.463,41.0528
28.03.2018 09:00:00.000 GMT-0400,89.932,91.242,88.892,89.802,80.202
28.03.2018 13:00:00.000 GMT-0400,89.802,90.962,89.072,89.402,53.739999999999995
29.03.2018 09:00:00.000 GMT-0400,90.552,90.733,88.403,90.493,34.4549
29.03.2018 13:00:00.000 GMT-0400,90.492,92.303,90.082,91.252,22.725
02.04.2018 09:00:00.000 GMT-0400,90.673,90.893,88.062,88.852,44.9138
02.04.2018 13:00:00.000 GMT-0400,88.862,88.993,87.523,88.352,36.374700000000004
03.04.2018 09:00:00.000 GMT-0400,89.702,90.053,87.902,88.603,35.6102
03.04.2018 13:00:00.000 GMT-0400,88.613,89.953,88.073,89.723,32.3428
04.04.2018 09:00:00.000 GMT-0400,87.922,90.553,87.862,90.312,46.219
04.04.2018 13:00:00.000 GMT-0400,90.313,92.763,89.702,92.283,31.0831
05.04.2018 09:00:00.000 GMT-0400,92.632,93.073,92.032,92.492,28.9486
05.04.2018 13:00:00.000 GMT-0400,92.483,92.803,91.412,92.393,20.0335
06.04.2018 09:00:00.000 GMT-0400,91.503,92.463,91.172,91.983,36.3579
06.04.2018 13:00:00.000 GMT-0400,91.972,91.972,89.503,90.093,41.8938
09.04.2018 09:00:00.000 GMT-0400,91.152,93.183,91.092,92.833,25.4054
09.04.2018 13:00:00.000 GMT-0400,92.842,93.013,90.633,90.783,17.6114
10.04.2018 09:00:00.000 GMT-0400,92.402,93.003,91.652,92.162,29.547000000000004
10.04.2018 13:00:00.000 GMT-0400,92.163,93.283,92.022,92.913,21.4506
11.04.2018 09:00:00.000 GMT-0400,92.113,93.302,91.772,92.473,23.6627
11.04.2018 13:00:00.000 GMT-0400,92.463,92.692,91.483,91.872,17.5576
12.04.2018 09:00:00.000 GMT-0400,92.543,93.863,92.472,93.703,21.8767
12.04.2018 13:00:00.000 GMT-0400,93.702,94.172,92.842,93.613,17.925800000000002
13.04.2018 09:00:00.000 GMT-0400,94.082,94.172,92.712,93.232,22.693199999999997
13.04.2018 13:00:00.000 GMT-0400,93.233,93.612,92.452,93.062,16.9913
16.04.2018 09:00:00.000 GMT-0400,94.033,94.613,93.432,94.573,18.9912
16.04.2018 13:00:00.000 GMT-0400,94.562,94.663,94.033,94.172,11.892700000000001
17.04.2018 09:00:00.000 GMT-0400,94.953,96.533,94.912,96.302,18.355400000000003
17.04.2018 13:00:00.000 GMT-0400,96.303,96.552,95.992,96.103,12.7064
18.04.2018 09:00:00.000 GMT-0400,96.402,96.683,95.523,96.553,20.5159
18.04.2018 13:00:00.000 GMT-0400,96.552,96.723,96.193,96.453,12.2051
19.04.2018 09:00:00.000 GMT-0400,96.442,97.083,95.432,95.502,22.8254
19.04.2018 13:00:00.000 GMT-0400,95.503,96.313,95.362,96.103,16.7702
20.04.2018 09:00:00.000 GMT-0400,95.903,96.113,94.063,94.463,19.401400000000002
20.04.2018 13:00:00.000 GMT-0400,94.462,95.333,94.355,94.992,14.5064
23.04.2018 09:00:00.000 GMT-0400,95.662,96.283,95.042,95.413,20.5605
23.04.2018 13:00:00.000 GMT-0400,95.412,95.593,94.642,95.342,17.3335
24.04.2018 09:00:00.000 GMT-0400,96.332,96.483,93.432,93.432,30.0681
24.04.2018 13:00:00.000 GMT-0400,93.432,93.673,92.442,93.042,26.4432
25.04.2018 09:00:00.000 GMT-0400,93.223,93.223,90.302,91.882,41.5116
