Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,232.962,242.752,232.962,238.132,62.4547
30.01.2018 13:00:00.000 GMT-0500,238.133,238.583,236.602,236.702,35.4615
31.01.2018 09:00:00.000 GMT-0500,242.852,247.012,237.493,237.933,38.473600000000005
31.01.2018 13:00:00.000 GMT-0500,237.932,238.832,235.792,236.802,33.5697
01.02.2018 09:00:00.000 GMT-0500,235.502,237.483,233.903,237.203,32.4596
01.02.2018 13:00:00.000 GMT-0500,237.202,237.863,234.572,235.272,28.211999999999996
02.02.2018 09:00:00.000 GMT-0500,233.752,236.303,232.413,235.133,33.2449
02.02.2018 13:00:00.000 GMT-0500,235.132,235.263,231.282,231.853,39.7204
05.02.2018 09:00:00.000 GMT-0500,231.003,233.143,229.062,230.852,29.703900000000004
05.02.2018 13:00:00.000 GMT-0500,230.843,230.853,215.602,220.072,50.456900000000005
06.02.2018 09:00:00.000 GMT-0500,211.573,225.162,210.553,221.372,39.196799999999996
06.02.2018 13:00:00.000 GMT-0500,221.338,226.513,218.643,225.102,34.522400000000005
07.02.2018 09:00:00.000 GMT-0500,222.502,229.293,221.962,228.433,49.0493
07.02.2018 13:00:00.000 GMT-0500,228.433,229.033,225.792,225.873,43.7571
08.02.2018 09:00:00.000 GMT-0500,225.802,227.003,221.783,222.562,39.3047
08.02.2018 13:00:00.000 GMT-0500,222.543,225.242,216.712,216.743,44.57299999999999
09.02.2018 09:00:00.000 GMT-0500,218.973,218.973,213.602,215.512,54.2858
09.02.2018 13:00:00.000 GMT-0500,215.502,223.263,212.302,221.093,54.291799999999995
12.02.2018 09:00:00.000 GMT-0500,222.802,226.823,222.232,226.222,40.8764
12.02.2018 13:00:00.000 GMT-0500,226.483,228.032,225.322,225.633,34.9761
13.02.2018 09:00:00.000 GMT-0500,223.403,224.933,222.552,223.563,29.1786
13.02.2018 13:00:00.000 GMT-0500,223.572,227.163,223.552,226.613,30.3948
14.02.2018 09:00:00.000 GMT-0500,225.493,227.993,224.932,226.463,33.1118
14.02.2018 13:00:00.000 GMT-0500,226.452,229.373,226.212,228.862,27.118899999999996
15.02.2018 09:00:00.000 GMT-0500,230.018,230.018,221.782,223.632,27.7596
15.02.2018 13:00:00.000 GMT-0500,223.633,226.022,223.633,226.022,27.2504
16.02.2018 09:00:00.000 GMT-0500,226.002,229.273,225.782,228.683,31.468600000000002
16.02.2018 13:00:00.000 GMT-0500,228.682,230.573,227.442,229.343,35.068299999999994
20.02.2018 09:00:00.000 GMT-0500,228.002,228.863,225.702,228.613,27.7987
20.02.2018 13:00:00.000 GMT-0500,228.612,228.753,226.212,226.712,28.0356
21.02.2018 09:00:00.000 GMT-0500,226.292,228.493,226.292,227.562,22.0883
21.02.2018 13:00:00.000 GMT-0500,227.562,229.362,225.163,225.163,26.2909
22.02.2018 09:00:00.000 GMT-0500,227.193,229.833,225.142,228.623,20.5477
22.02.2018 13:00:00.000 GMT-0500,228.622,229.252,226.382,227.133,24.831
23.02.2018 09:00:00.000 GMT-0500,228.092,228.593,226.002,227.442,14.866299999999999
23.02.2018 13:00:00.000 GMT-0500,227.422,230.323,226.993,230.243,14.947099999999999
26.02.2018 09:00:00.000 GMT-0500,231.213,234.093,230.063,233.873,16.3048
26.02.2018 13:00:00.000 GMT-0500,233.883,234.582,232.622,234.083,16.7459
27.02.2018 09:00:00.000 GMT-0500,235.002,235.943,233.712,234.683,27.957700000000003
27.02.2018 13:00:00.000 GMT-0500,234.662,234.683,232.642,232.802,22.3221
28.02.2018 09:00:00.000 GMT-0500,234.822,234.823,229.662,230.753,18.1798
28.02.2018 13:00:00.000 GMT-0500,230.722,231.113,226.272,226.323,28.0547
01.03.2018 09:00:00.000 GMT-0500,225.752,229.303,224.772,226.172,26.2631
01.03.2018 13:00:00.000 GMT-0500,226.172,226.172,222.853,224.292,34.3905
02.03.2018 09:00:00.000 GMT-0500,223.913,225.503,222.912,225.153,28.144399999999997
02.03.2018 13:00:00.000 GMT-0500,225.153,225.843,223.473,225.173,28.4143
05.03.2018 09:00:00.000 GMT-0500,224.892,227.843,222.902,227.802,16.247700000000002
05.03.2018 13:00:00.000 GMT-0500,227.753,229.393,227.102,228.413,14.7859
06.03.2018 09:00:00.000 GMT-0500,229.403,229.403,223.953,226.073,19.0574
06.03.2018 13:00:00.000 GMT-0500,226.072,226.703,225.273,226.222,17.613
07.03.2018 09:00:00.000 GMT-0500,224.802,226.512,224.053,225.732,22.2831
07.03.2018 13:00:00.000 GMT-0500,225.712,227.833,225.142,227.372,20.5176
08.03.2018 09:00:00.000 GMT-0500,227.802,227.843,224.902,225.602,18.5845
08.03.2018 13:00:00.000 GMT-0500,225.612,225.682,223.983,224.562,15.147400000000001
09.03.2018 09:00:00.000 GMT-0500,225.682,225.722,222.702,225.622,18.5078
09.03.2018 13:00:00.000 GMT-0500,225.622,226.582,225.192,225.453,17.2695
12.03.2018 09:00:00.000 GMT-0400,226.963,227.023,223.852,224.012,18.8123
12.03.2018 13:00:00.000 GMT-0400,223.993,224.063,222.822,222.862,13.6634
13.03.2018 09:00:00.000 GMT-0400,224.993,226.943,223.662,226.603,22.539900000000003
13.03.2018 13:00:00.000 GMT-0400,226.572,228.073,226.022,226.933,18.1167
