Local time,Open,High,Low,Close,Volume
30.01.2018 09:00:00.000 GMT-0500,124.242,124.303,122.912,123.812,45.5492
30.01.2018 13:00:00.000 GMT-0500,123.812,123.872,123.383,123.553,30.1815
31.01.2018 09:00:00.000 GMT-0500,124.362,124.492,123.102,124.193,27.8834
31.01.2018 13:00:00.000 GMT-0500,124.193,124.472,123.715,124.272,30.529899999999998
01.02.2018 09:00:00.000 GMT-0500,125.032,126.282,124.133,125.483,49.2786
01.02.2018 13:00:00.000 GMT-0500,125.482,125.832,124.522,125.703,45.0743
02.02.2018 09:00:00.000 GMT-0500,123.882,123.883,121.683,122.162,45.2062
02.02.2018 13:00:00.000 GMT-0500,122.163,122.483,120.772,120.943,44.157
05.02.2018 09:00:00.000 GMT-0500,118.653,121.142,118.222,119.972,49.87689999999999
05.02.2018 13:00:00.000 GMT-0500,119.962,120.303,115.852,116.522,59.3944
06.02.2018 09:00:00.000 GMT-0500,115.453,118.483,113.642,117.932,83.6752
06.02.2018 13:00:00.000 GMT-0500,117.993,120.312,116.702,120.042,70.7364
07.02.2018 09:00:00.000 GMT-0500,120.082,122.482,119.312,121.322,48.393299999999996
07.02.2018 13:00:00.000 GMT-0500,121.313,121.493,119.652,119.662,49.7818
08.02.2018 09:00:00.000 GMT-0500,119.670,119.670,115.992,116.412,65.23310000000001
08.02.2018 13:00:00.000 GMT-0500,116.383,117.212,113.782,113.782,66.2992
09.02.2018 09:00:00.000 GMT-0500,114.303,116.503,111.283,112.643,67.8879
09.02.2018 13:00:00.000 GMT-0500,112.703,117.183,111.132,116.252,65.6851
12.02.2018 09:00:00.000 GMT-0500,117.892,118.853,116.922,118.422,58.1139
12.02.2018 13:00:00.000 GMT-0500,118.422,118.763,117.882,118.472,37.3977
13.02.2018 09:00:00.000 GMT-0500,118.242,118.242,117.162,117.463,43.077
13.02.2018 13:00:00.000 GMT-0500,117.462,118.803,117.353,118.403,38.6475
14.02.2018 09:00:00.000 GMT-0500,118.432,119.993,118.163,119.842,37.6917
14.02.2018 13:00:00.000 GMT-0500,119.842,120.592,119.782,120.582,18.257199999999997
15.02.2018 09:00:00.000 GMT-0500,121.873,121.903,119.982,121.012,35.9859
15.02.2018 13:00:00.000 GMT-0500,121.022,122.312,120.902,122.312,27.9363
16.02.2018 09:00:00.000 GMT-0500,121.992,123.012,121.662,122.732,32.9785
16.02.2018 13:00:00.000 GMT-0500,122.763,122.823,121.853,121.882,39.4275
20.02.2018 09:00:00.000 GMT-0500,121.603,123.053,121.122,122.592,27.267
20.02.2018 13:00:00.000 GMT-0500,122.592,122.682,121.482,122.072,26.157
21.02.2018 09:00:00.000 GMT-0500,122.502,122.562,121.785,122.153,18.7722
21.02.2018 13:00:00.000 GMT-0500,122.162,122.833,120.433,120.463,22.9921
22.02.2018 09:00:00.000 GMT-0500,120.823,121.392,119.672,120.792,22.7982
22.02.2018 13:00:00.000 GMT-0500,120.792,121.243,120.182,120.442,19.9664
23.02.2018 09:00:00.000 GMT-0500,121.852,122.582,121.262,122.432,22.1582
23.02.2018 13:00:00.000 GMT-0500,122.433,122.972,121.922,122.912,12.1099
26.02.2018 09:00:00.000 GMT-0500,124.002,124.203,123.353,124.032,15.3272
26.02.2018 13:00:00.000 GMT-0500,124.042,124.603,123.932,124.592,11.2705
27.02.2018 09:00:00.000 GMT-0500,124.623,125.322,124.092,124.742,21.9712
27.02.2018 13:00:00.000 GMT-0500,124.752,124.783,123.422,123.432,22.5671
28.02.2018 09:00:00.000 GMT-0500,123.742,124.993,123.612,124.432,19.3404
28.02.2018 13:00:00.000 GMT-0500,124.422,124.882,122.982,123.053,20.1998
01.03.2018 09:00:00.000 GMT-0500,123.493,123.743,121.532,121.993,38.1701
01.03.2018 13:00:00.000 GMT-0500,121.983,121.983,119.673,120.312,36.4607
02.03.2018 09:00:00.000 GMT-0500,119.573,120.253,117.932,120.183,29.3232
02.03.2018 13:00:00.000 GMT-0500,120.172,120.983,119.262,120.752,23.8303
05.03.2018 09:00:00.000 GMT-0500,120.422,121.642,119.473,121.493,34.8214
05.03.2018 13:00:00.000 GMT-0500,121.493,122.323,121.213,121.903,21.673299999999998
06.03.2018 09:00:00.000 GMT-0500,123.333,123.333,120.742,121.292,26.441000000000003
06.03.2018 13:00:00.000 GMT-0500,121.302,121.543,120.683,121.102,17.259800000000002
07.03.2018 09:00:00.000 GMT-0500,120.943,121.413,119.792,120.753,30.4403
07.03.2018 13:00:00.000 GMT-0500,120.742,122.273,120.302,121.902,15.4849
08.03.2018 09:00:00.000 GMT-0500,122.502,122.843,121.242,121.562,21.765300000000003
08.03.2018 13:00:00.000 GMT-0500,121.582,122.283,121.182,122.252,17.430799999999998
09.03.2018 09:00:00.000 GMT-0500,123.523,124.233,122.912,124.223,21.951699999999995
09.03.2018 13:00:00.000 GMT-0500,124.222,124.793,124.112,124.533,12.383700000000001
12.03.2018 09:00:00.000 GMT-0400,125.252,125.252,123.512,124.012,17.5881
12.03.2018 13:00:00.000 GMT-0400,124.003,124.842,123.972,124.282,10.5097
13.03.2018 09:00:00.000 GMT-0400,124.962,125.003,122.932,123.863,23.713
13.03.2018 13:00:00.000 GMT-0400,123.862,124.063,123.023,123.203,17.7245
14.03.2018 09:00:00.000 GMT-0400,124.022,124.022,121.902,122.422,30.383
14.03.2018 13:00:00.000 GMT-0400,122.422,123.242,122.072,122.563,25.429199999999998
15.03.2018 09:00:00.000 GMT-0400,123.133,124.452,122.742,123.922,21.683300000000003
15.03.2018 13:00:00.000 GMT-0400,123.923,124.013,123.073,123.403,12.000399999999999
16.03.2018 09:00:00.000 GMT-0400,123.993,124.593,123.353,124.523,18.9504
16.03.2018 13:00:00.000 GMT-0400,124.522,125.053,124.302,124.558,5.1325
19.03.2018 09:00:00.000 GMT-0400,124.563,124.563,122.593,122.912,25.2486
19.03.2018 13:00:00.000 GMT-0400,122.913,123.403,122.302,123.202,27.2502
20.03.2018 09:00:00.000 GMT-0400,123.462,125.183,123.353,124.813,27.2476
20.03.2018 13:00:00.000 GMT-0400,124.822,125.152,124.572,124.932,10.982
21.03.2018 09:00:00.000 GMT-0400,125.313,125.453,123.982,124.803,24.599
21.03.2018 13:00:00.000 GMT-0400,124.802,125.282,123.082,123.262,43.4158
22.03.2018 09:00:00.000 GMT-0400,122.453,122.703,120.672,121.693,52.4326
22.03.2018 13:00:00.000 GMT-0400,121.673,122.283,119.802,119.922,50.8544
23.03.2018 09:00:00.000 GMT-0400,119.962,120.772,118.252,118.853,47.7916
23.03.2018 13:00:00.000 GMT-0400,118.843,120.342,116.782,117.013,50.908699999999996
26.03.2018 09:00:00.000 GMT-0400,119.002,119.693,117.812,118.742,44.0398
26.03.2018 13:00:00.000 GMT-0400,118.732,120.752,118.683,120.653,24.1004
27.03.2018 09:00:00.000 GMT-0400,121.622,121.622,119.593,120.413,43.6125
27.03.2018 13:00:00.000 GMT-0400,120.413,120.623,116.782,117.433,47.4553
28.03.2018 09:00:00.000 GMT-0400,117.102,118.122,116.072,117.013,71.1294
28.03.2018 13:00:00.000 GMT-0400,117.023,118.033,116.582,116.982,47.0518
29.03.2018 09:00:00.000 GMT-0400,117.852,119.283,117.073,118.542,25.620400000000004
29.03.2018 13:00:00.000 GMT-0400,118.542,120.603,118.223,119.633,27.6789
02.04.2018 09:00:00.000 GMT-0400,119.332,119.873,116.792,117.993,53.6822
02.04.2018 13:00:00.000 GMT-0400,117.982,118.622,116.942,118.362,46.5364
03.04.2018 09:00:00.000 GMT-0400,119.193,120.013,117.852,118.283,38.6674
03.04.2018 13:00:00.000 GMT-0400,118.282,119.462,117.492,119.212,39.298
04.04.2018 09:00:00.000 GMT-0400,117.203,118.893,116.782,118.642,46.7649
04.04.2018 13:00:00.000 GMT-0400,118.652,120.123,118.022,119.832,21.424500000000002
05.04.2018 09:00:00.000 GMT-0400,121.283,122.032,120.432,121.532,31.5089
05.04.2018 13:00:00.000 GMT-0400,121.532,121.752,120.402,121.200,25.111800000000002
06.04.2018 09:00:00.000 GMT-0400,120.232,120.593,118.903,119.903,36.0676
06.04.2018 13:00:00.000 GMT-0400,119.882,119.903,117.132,117.662,42.074
09.04.2018 09:00:00.000 GMT-0400,118.882,120.543,118.673,120.202,23.966500000000003
09.04.2018 13:00:00.000 GMT-0400,120.212,120.693,118.682,118.792,17.0489
10.04.2018 09:00:00.000 GMT-0400,120.523,121.183,119.702,120.213,39.62179999999999
10.04.2018 13:00:00.000 GMT-0400,120.212,121.072,120.092,120.822,20.1828
11.04.2018 09:00:00.000 GMT-0400,120.003,121.682,120.002,120.823,31.556599999999996
11.04.2018 13:00:00.000 GMT-0400,120.822,121.023,119.632,119.823,19.8228
12.04.2018 09:00:00.000 GMT-0400,120.733,121.773,120.432,121.703,30.7795
12.04.2018 13:00:00.000 GMT-0400,121.702,121.983,121.012,121.072,17.079900000000002
13.04.2018 09:00:00.000 GMT-0400,121.813,122.483,121.332,121.572,31.485099999999996
13.04.2018 13:00:00.000 GMT-0400,121.572,122.173,120.663,121.122,21.573500000000003
16.04.2018 09:00:00.000 GMT-0400,122.133,122.803,121.553,122.743,15.1997
16.04.2018 13:00:00.000 GMT-0400,122.753,122.873,121.842,121.883,10.827000000000002
17.04.2018 09:00:00.000 GMT-0400,123.132,124.113,122.542,123.912,19.5367
17.04.2018 13:00:00.000 GMT-0400,123.913,124.283,123.692,123.822,12.9967
18.04.2018 09:00:00.000 GMT-0400,124.122,124.803,123.402,124.692,25.1476
18.04.2018 13:00:00.000 GMT-0400,124.693,124.883,124.403,124.522,11.1206
19.04.2018 09:00:00.000 GMT-0400,124.743,124.743,123.792,124.002,35.5437
19.04.2018 13:00:00.000 GMT-0400,124.002,124.053,123.172,123.943,23.242600000000003
20.04.2018 09:00:00.000 GMT-0400,124.483,124.843,123.518,123.683,16.9266
20.04.2018 13:00:00.000 GMT-0400,123.663,124.503,123.313,124.282,14.9301
23.04.2018 09:00:00.000 GMT-0400,125.003,125.003,124.152,124.302,18.3018
23.04.2018 13:00:00.000 GMT-0400,124.303,124.543,123.912,124.462,9.7282
24.04.2018 09:00:00.000 GMT-0400,124.992,125.053,122.802,122.802,32.4858
24.04.2018 13:00:00.000 GMT-0400,122.762,123.143,120.582,121.343,25.4967
25.04.2018 09:00:00.000 GMT-0400,121.003,121.063,119.412,120.213,36.4371
25.04.2018 13:00:00.000 GMT-0400,120.203,121.373,120.122,121.243,41.4232
26.04.2018 09:00:00.000 GMT-0400,125.203,127.613,123.923,126.952,51.850899999999996
26.04.2018 13:00:00.000 GMT-0400,126.952,127.513,126.333,127.122,27.1984
27.04.2018 09:00:00.000 GMT-0400,127.003,127.093,125.413,126.202,45.9773
27.04.2018 13:00:00.000 GMT-0400,126.213,126.312,125.642,126.043,17.328200000000002
30.04.2018 09:00:00.000 GMT-0400,127.162,127.903,126.713,127.523,37.7068
30.04.2018 13:00:00.000 GMT-0400,127.523,127.793,126.932,126.933,47.3977
01.05.2018 09:00:00.000 GMT-0400,126.872,126.893,125.822,125.933,31.0988
01.05.2018 13:00:00.000 GMT-0400,125.923,127.582,125.542,127.512,24.914099999999998
02.05.2018 09:00:00.000 GMT-0400,128.213,128.213,126.163,126.703,32.513000000000005
02.05.2018 13:00:00.000 GMT-0400,126.702,128.063,126.112,126.393,30.6201
03.05.2018 09:00:00.000 GMT-0400,126.403,127.023,125.362,126.962,43.271
03.05.2018 13:00:00.000 GMT-0400,126.962,127.492,126.553,127.232,46.8649
04.05.2018 09:00:00.000 GMT-0400,126.643,128.213,126.123,127.473,45.4836
04.05.2018 13:00:00.000 GMT-0400,127.482,128.373,127.482,128.232,32.028600000000004
07.05.2018 09:00:00.000 GMT-0400,128.513,129.312,128.292,129.052,38.0418
07.05.2018 13:00:00.000 GMT-0400,129.053,129.553,128.612,129.272,32.00020000000001
08.05.2018 09:00:00.000 GMT-0400,129.153,129.763,128.362,129.283,41.6471
08.05.2018 13:00:00.000 GMT-0400,129.283,129.983,128.982,129.912,28.503500000000003
09.05.2018 09:00:00.000 GMT-0400,130.673,131.013,129.642,130.472,29.9363
09.05.2018 13:00:00.000 GMT-0400,130.473,130.923,130.212,130.852,28.4274
10.05.2018 09:00:00.000 GMT-0400,131.312,131.783,130.853,131.303,37.011399999999995
10.05.2018 13:00:00.000 GMT-0400,131.333,131.612,130.752,130.992,30.376599999999996
11.05.2018 09:00:00.000 GMT-0400,131.093,132.112,130.293,131.703,34.8065
11.05.2018 13:00:00.000 GMT-0400,131.702,131.933,131.303,131.833,27.2265
